time_s,stage,Ip_MA,loop_voltage_V,flux_consumed_Wb,q95,internal_inductance,vertical_stability_margin,line_average_density_1e19_m3,major_radius_m,minor_radius_m,elongation,triangularity,vertical_position_m,I_CS1_kA,I_CS2_kA,I_CS3_kA,I_PF1_kA,I_PF2_kA,I_PF3_kA,I_PF4_kA,I_Div1_kA,I_Div2_kA,I_VS_bias_kA,note
0.96,rampup,2.9479999999999995,14.3421649953601,18.199349282936222,3.9822717259142917,0.9064543451828583,0.3219363035548575,0.9882538552299771,1.85,0.3979002202988558,1.2806369644514248,0.1153184822257125,0.0,17.559019521511914,15.91202602868255,14.559019521511914,4.657229375579986,4.51084406336998,2.827480647315177,0.1932803372579201,0.0,0.0,0.0,rampup_current_and_shape_evolution
0.98,rampup,3.024,14.19587318806119,18.484729664770434,3.9735638802417377,0.9047127760483474,0.32141383281450425,1.0217790610693107,1.85,0.3998159463468177,1.2858616718549574,0.11793083592747874,0.0,17.550458110056887,15.900610813409182,14.550458110056887,4.67551585149235,4.538273777238526,2.849176955645604,0.22630717441699333,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.0,rampup,3.0999999999999996,14.047767578280638,18.767166072433852,3.9647480701357525,0.9029496140271505,0.3208848842081451,1.0557199299773534,1.85,0.40175542457013447,1.2911511579185486,0.1205755789592743,0.0,17.541985017826985,15.889313357102646,14.541985017826985,4.694029052714919,4.56604357907238,2.870921847971075,0.25935776375142117,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.02,rampup,3.176,13.89791294467851,19.046622877663445,3.955828151468959,0.9011656302937917,0.32034968908813755,1.0900616168445083,1.85,0.403717806676829,1.2965031091186245,0.12325155455931233,0.0,17.533601313670097,15.878135084893461,14.533601313670097,4.712760881915186,4.594141322872779,2.89271358914891,0.292431256969227,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.04,rampup,3.252,13.746374065914857,19.32306574776938,3.94680798011398,0.8993615960227959,0.31980847880683877,1.1247892765611789,1.85,0.40570224437492447,1.3019152119316122,0.12595760596580613,0.0,17.52530802756692,15.867077370089225,14.525308027566918,4.731703241760642,4.622554862640964,2.9145504440364287,0.32552680577843335,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.06,rampup,3.3280000000000003,13.593215720649738,19.596461645635028,3.937691411943437,0.8975382823886874,0.3192614847166062,1.1598880640177682,1.85,0.4077078893724439,1.307385152833938,0.12869257641696896,0.0,17.517106150630948,15.856141534174599,14.51710615063095,4.750848034918783,4.651272052378174,2.936430677490951,0.3586435618870641,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.08,rampup,3.404,13.438502687543217,19.866778829716957,3.928482302829954,0.8956964605659906,0.3187089381697972,1.1953431341046792,1.85,0.40973389337741023,1.3129106183020278,0.13145530915101394,0.0,17.508996635108492,15.845328846811322,14.508996635108492,4.770187164057098,4.6802807460856455,2.958352554369796,0.3917806770031413,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.1,rampup,3.4800000000000004,13.282299745255349,20.13398685404494,3.919184508646152,0.8938369017292304,0.3181510705187691,1.2311396417123157,1.85,0.4117794080978466,1.3184892948123088,0.1342446474061545,0.0,17.50098039437865,15.834640525838202,14.500980394378653,4.78971253184308,4.7095687977646215,2.9803143395302847,0.42493730283468917,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.12,rampup,3.556,13.12467167244619,20.398056568221957,3.9098018852646543,0.8919603770529309,0.31758811311587926,1.2672627417310813,1.85,0.41384358524177606,1.3241188688412073,0.13705943442060375,0.0,17.49305830295334,15.824077737271121,14.493058302953342,4.809416040944225,4.739124061416338,3.002314297829736,0.4581125910897295,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.14,rampup,3.6319999999999997,12.965683247775804,20.658960117424176,3.9003382885580837,0.8900676577116167,0.317020297313485,1.303697589051378,1.85,0.41592557651722156,1.3297970268651498,0.13989851343257492,0.0,17.485231196477276,15.813641595303032,14.485231196477274,4.829289594028024,4.768934391042036,3.0243506941254705,0.4913056934762861,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.16,rampup,3.7079999999999993,12.805399249904244,20.916670942400977,3.8907975743990626,0.8881595148798124,0.31644785446394375,1.3404293385636104,1.85,0.41802453363220626,1.3355214553605625,0.1427607276802813,0.0,17.47749987172797,15.80333316230396,14.477499871727971,4.849325093761969,4.798987640642953,3.046421793274808,0.5245157617023817,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.18,rampup,3.784,12.643884457491575,21.171163779474934,3.881183598660213,0.8862367197320425,0.31587101591961275,1.3774431451581806,1.85,0.42013960829475316,1.3412898408038723,0.14564492040193616,0.0,17.46986508661575,15.793153448821002,14.469865086615751,4.869514442813553,4.829271664220329,3.0685258601350682,0.5577419474760399,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.2,rampup,3.8599999999999994,12.48120364919785,21.42241466054183,3.871500217214158,0.8843000434428315,0.3152900130328494,1.4147241637254926,1.85,0.42226995221288527,1.3470998696715053,0.14854993483575268,0.0,17.462327560183745,15.783103413578328,14.462327560183745,4.889849543850269,4.859774315775402,3.0906611595635702,0.5909834025052829,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.22,rampup,3.936,12.317421603683131,21.67040091307064,3.86175128593352,0.8823502571867039,0.31470507715601115,1.452257549155949,1.85,0.42441471709462564,1.352949228439888,0.15147461421994407,0.0,17.45488797260788,15.773183963477175,14.454887972607882,4.910322299539607,4.8904834493094125,3.1128259564176353,0.6242392784981345,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.24,rampup,4.012,12.152603099607473,21.915101160103546,3.8519406606909214,0.8803881321381841,0.31411643964145525,1.490028456339954,1.85,0.42657305464799733,1.3588356035854474,0.15441780179272369,0.0,17.447546965196892,15.763395953595857,14.447546965196894,4.930924612549065,4.921386918823599,3.1350185155545827,0.6575087271626173,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.26,rampup,4.088,11.986812915630937,22.15649532025593,3.8420721973589846,0.8784144394717969,0.31352433184153905,1.52802204016791,1.85,0.4287441165810234,1.3647566815846093,0.1573783407923047,0.0,17.440305140392322,15.753740187189763,14.440305140392322,4.951648385546132,4.952472578319199,3.1572371018317322,0.6907909002067547,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.28,rampup,4.164,11.820115830413581,22.394564607716376,3.8321497518103325,0.8764299503620664,0.3129289851086199,1.5662234555302208,1.85,0.43092705460172687,1.3707101489138007,0.16035507445690034,0.0,17.433163061768507,15.744217415691345,14.433163061768509,4.972485521198302,4.983728281797453,3.179479980106403,0.724084949338569,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.3,rampup,4.24,11.652576622615465,22.629291532246665,3.8221771799175874,0.8744354359835174,0.3123306307950552,1.6046178573172893,1.85,0.4331210204181308,1.3766936920494477,0.16334684602472382,0.0,17.4261212540326,15.734828338710134,14.4261212540326,4.993427922173066,5.0151418832596,3.201745415235916,0.7573900262660842,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.32,rampup,4.316,11.484260070896642,22.860659899181787,3.812158337553372,0.8724316675106744,0.3117295002532023,1.6431904004195192,1.85,0.4353251657382582,1.382704997467977,0.1663524987339885,0.0,17.419180203024546,15.725573604032729,14.419180203024547,5.014467491137919,5.046701236706879,3.224031672077591,0.7907052826973225,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.34,rampup,4.392,11.31523095391718,23.088654809429926,3.8020970805903085,0.8704194161180616,0.3111258248354185,1.6819262397273127,1.85,0.4375386422701321,1.388741751645815,0.1693708758229075,0.0,17.412340355717102,15.716453807622804,14.412340355717102,5.035596130760352,5.078394196140528,3.2463370154887476,0.8240298703403077,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.36,rampup,4.468,11.145554050337129,23.313262659472468,3.79199726490102,0.8683994529802039,0.3105198358940612,1.7208105301310743,1.85,0.43976060172177567,1.3948016410593882,0.17240082052969408,0.0,17.405602120215825,15.707469493621101,14.405602120215827,5.056805743707859,5.110208615561787,3.2686597103267054,0.8573629409030624,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.38,rampup,4.544,10.975294138816558,23.534471141364,3.7818627463581285,0.8663725492716257,0.3099117647814877,1.7598284265212056,1.85,0.44199019580121174,1.400882352185123,0.1754411760925615,0.0,17.39896586575908,15.69862115434544,14.39896586575908,5.0780882326479295,5.142132348971895,3.2909980214487837,0.8907036460936095,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.4,rampup,4.619999999999999,10.80451599801551,23.75226924273232,3.7716973808342567,0.8643394761668513,0.30930184285005535,1.798965083788112,1.85,0.4442265762164635,1.406981571499446,0.178490785749723,0.0,17.392431922718032,15.689909230290707,14.39243192271803,5.099435500248061,5.1741532503720915,3.3133502137123036,0.9240511376199723,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.42,rampup,4.696,10.633284406594058,23.966647246778418,3.7615050242020276,0.8623010048404054,0.3086903014521216,1.8382056568221952,1.85,0.44646889467555395,1.4130969854787836,0.18154849273939183,0.0,17.386000582596647,15.681334110128864,14.386000582596647,5.120839449175742,5.2062591737636135,3.3357145519745846,0.957404567190174,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.44,rampup,4.771999999999999,10.46166414321225,24.17759673227648,3.751289532334063,0.8602579064668125,0.30807737194004375,1.877535300513859,1.85,0.4487163028865062,1.4192262805995624,0.1846131402997812,0.0,17.379672098031705,15.67289613070894,14.379672098031705,5.1422919820984685,5.238437973147702,3.3580893010929467,0.9907630865122371,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.46,rampup,4.848,10.28971998653015,24.385110573573904,3.741054761102985,0.858210952220597,0.3074632856661791,1.9169391697535072,1.85,0.45096795255734323,1.425367143338209,0.1876835716691045,0.0,17.373446682792782,15.664595577057044,14.373446682792784,5.163785001683731,5.270677502525596,3.3804727259247094,1.0241258472941854,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.48,rampup,4.9239999999999995,10.11751671520782,24.589182940591282,3.730804566381418,0.8561609132762835,0.30684827398288506,1.9564024194315413,1.85,0.453222995396088,1.4315172601711492,0.19075863008557464,0.0,17.36732451178226,15.656432682376348,14.367324511782261,5.185310410599022,5.302965615898533,3.4028630913271924,1.0574920012440412,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.5,rampup,5.0,9.94511910790531,24.789809298822412,3.720542804041983,0.8541085608083965,0.30623256824251893,1.9959102044383665,1.85,0.4554805831107638,1.4376743175748103,0.1938371587874052,0.0,17.36130572103533,15.648407628047103,14.361305721035327,5.206860111511835,5.335290167267754,3.425258662157716,1.090860700069828,0.0,0.0,0.0,rampup_current_and_shape_evolution
1.52,rampup,5.049333333333333,9.772591943282684,24.986986409334293,3.7102733299573027,0.8520546659914605,0.30561639979743815,2.035447679664385,1.85,0.4577398674093934,1.4438360020256185,0.1969180010128092,0.0,17.35539040771997,15.640520543626629,14.355390407719971,5.228426007089665,5.367639010634496,3.4414198865094674,1.1133149161423372,0.0,0.0,0.0,rampup_current_and_shape_evolution
