time_s,stage,Ip_MA,I_CS1_MA,I_CS2_MA,I_CS3_MA,I_PF1_MA,I_PF2_MA,I_PF3_MA,I_PF4_MA,I_Div1_MA,I_Div2_MA,I_VS_bias_MA,B0_T,loop_voltage_V,flux_consumed_Wb,q95,pf_balance_residual,strike_point_residual
1.2,flattop,8.7,4.961595051125706,5.94879340150094,4.961595051125706,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,0.0,0.0,0.0,12.2,1.2167789089464505,-311.018225,3.2000000000000006,0.0,0.0
1.22,flattop,8.700313952597647,4.961589509282107,5.948786012376143,4.961589509282107,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,2.353485711811955e-06,-1.7752336941677398e-06,0.0,12.2,1.221632274255839,-310.99384088816794,3.2007791454866905,0.0,0.0011796482887526287
1.24,flattop,8.700626666167821,4.96158394848082,5.948778597974427,4.96158394848082,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,4.669855548044954e-06,-3.522470892505653e-06,0.0,12.2,1.2251202919358155,-310.969373362506,3.2015552432842904,0.0,0.002340692819304167
1.26,flattop,8.700936906572927,4.961578375012775,5.9487711666837,4.961578375012775,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,6.91257897264803e-06,-5.214156620646057e-06,0.0,12.2,1.227205648144913,-310.94485010310524,3.202325229990521,0.0,0.00346482322583278
1.28,flattop,8.701243449435824,4.961572795274125,5.948763727032167,4.961572795274125,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,9.046286897478715e-06,-6.82361198409328e-06,0.0,12.2,1.2278793576458482,-310.92029925304735,3.203086066007855,0.0,0.004534311300305336
1.3,flattop,8.701545084971874,4.9615672156891355,5.948756287585514,4.9615672156891355,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.1037329473945911e-05,-8.325454910322835e-06,0.0,12.2,1.2271380381490573,-310.8957490790894,3.203834747552489,0.0,0.005532290576905599
1.32,flattop,8.701840622763422,4.961561642684651,5.948748856912867,4.961561642684651,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.2854306771227794e-05,-9.696000439230793e-06,0.0,12.2,1.2249839350737064,-310.8712278593572,3.2045683185266896,0.0,0.006443022326277787
1.34,flattop,8.702128896457825,4.961556082664518,5.94874144355269,4.961556082664518,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.4468563971936991e-05,-1.0913634249102349e-05,0.0,12.2,1.2214249234091157,-310.8467637707724,3.205283882207335,0.0,0.007252143764689716
1.36,flattop,8.702408768370509,4.961550541984041,5.948734055978721,4.961550541984041,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.585464327570749e-05,-1.1959153527376413e-05,0.0,12.2,1.2164744865140413,-310.8223847766732,3.2059786127041927,0.0,0.007946894563711756
1.38,flattop,8.702679133974895,4.961545026924591,5.948726702566121,4.961545026924591,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.6990685383915155e-05,-1.2816069810471628e-05,0.0,12.2,1.2101516717754905,-310.79811851509027,3.2066497661422924,0.0,0.008516318088219295
1.4,flattop,8.702938926261462,4.961539543668466,5.948719391557954,4.961539543668466,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.7858774233875024e-05,-1.3470869016706715e-05,0.0,12.2,1.2024810231566494,-310.77399218814094,3.207294691523765,0.0,0.008951434189073798
1.42,flattop,8.703187119948742,4.961534098274115,5.948712131032154,4.961534098274115,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.844521954585228e-05,-1.3913224571441401e-05,0.0,12.2,1.193492490790413,-310.7500324530015,3.2079108412257797,0.0,0.009245380825439119
1.44,flattop,8.703422735529642,4.961528696651824,5.9487049288690965,4.961528696651824,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.8740772726951497e-05,-1.4136160263327049e-05,0.0,12.2,1.183221317864371,-310.72626531491494,3.2084957810925854,0.0,0.009393522283264524
1.46,flattop,8.703644843137106,4.961523344539953,5.948697792719936,4.961523344539953,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.8740772726951497e-05,-1.4136160263327049e-05,0.0,12.2,1.171707905163035,-310.7027160226847,3.209047200081225,0.0,0.009393522283264524
1.48,flattop,8.703852566213879,4.9615180474818645,5.948690729975818,4.9615180474818645,0.01621525626979218,0.05182949966737031,-0.11423771503071486,-0.007281694611907957,1.844521954585228e-05,-1.3913224571441401e-05,0.0,12.2,1.1589976537536946,-310.6794089670955,3.2095629194222433,0.0,0.009245380825439119
